1320,-364,1304,-404,416,-1252,1288,-364,1304,-364,500,-1220,456,-1224,440,-1236,456,-1224,452,-1224,460,-1228,1272,-7740,1324,-368,1324,-312,500,-1240,1296,-380,1308,-304,508,-1248,428,-1248,448,-1224,456,-1224,432,-1256,424,-1252,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,-308,1340,-376,464,-1248,1272,-364,1316,-380,460,-1248,448,-1228,440,-1240,428,-1244,468,-1224,456,-1212,1280,-7744,1312,-364,1316,536,-1240,1312,-340,1312,-380,448,-1248,468,-1220,424,-1244,440,-1248,444,-1232,456,-1224,1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,-360,1300,-360,430,-1240,1300,-360,1300,-360,430,-1240,430,-1240,430,-1240,430,-1240,430,-1240,430,-1240,1270,-7744,1300,-360,1300,-360,430,-1240,430,-1240,1300,-360,430,-1240,430,-1240,430,-1240,430,-1240,430,-1240,430,-1240,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3684,-2376,672,-600,644,-1780,668,-1780,660,-1780,668,-576,664,-604,636,-608,648,-608,636,-576,652,-592,652,-592,660,-608,632,-588,656,-580,664,-604,648,-608,632,-1780,668,-580,664,-576,660,-608,636,-584,660,-592,652,-616,640,-600,636,-608,636,-608,636,-1780,668,-1776,676,-596,648,-1776,668,-1756,636,-8652,3660,-2412,660,-612,632,-1780,668,-1780,672,-1780,668,-604,640,-576,660,-608,636,-584,660,-616,628,-616,632,-612,632,-572,660,-592,652,-588,656,-612,636,-608,648,-1780,656,-588,652,-616,636,-584,660,-608,636,-600,640,-604,640,-592,660,-584,656,-604,640,-1780,660,-1784,664,-616,628,-1780,672,-1760,636,
3680,-2372,664,-596,644,-616,640,-1780,660,-1788,660,-604,640,-576,660,-608,648,-584,660,-600,640,-580,664,-580,656,-588,656,-608,636,-592,652,-616,628,-616,632,-1788,660,-580,664,-580,668,-600,632,-584,660,-616,628,-616,640,-576,660,-584,660,-608,636,-1792,656,-1776,676,-608,636,-1780,668,-1752,652,-8648,3648,-2412,660,-608,636,-616,628,-1780,672,-1776,660,-592,652,-588,656,-612,636,-584,660,-608,636,-592,652,-616,628,-588,660,-584,660,-584,648,-612,640,-616,636,-1772,664,-612,628,-592,652,-592,660,-584,660,-608,632,-604,640,-592,652,-592,656,-612,632,-1780,668,-1780,660,-612,632,-1780,668,-1768,636,
3676,-2384,664,-608,636,-1780,668,-1776,664,-1784,660,-592,652,-592,660,-608,632,-588,656,-580,664,-580,664,-616,620,-584,660,-584,660,-592,652,-616,640,-600,636,-1784,664,-588,656,-588,648,-620,636,-584,648,-588,664,-604,640,-592,660,-584,656,-612,632,-1780,668,-1780,660,-608,636,-1780,668,-1764,640,-8648,3648,-2412,660,-624,632,-1780,668,-1780,660,-1780,668,-576,668,-576,660,-620,636,-608,636,-580,664,-576,668,-576,660,-584,660,-584,656,-592,652,-616,636,-608,636,-1784,660,-580,664,-580,656,-588,656,-612,632,-592,652,-616,640,-580,656,-584,660,-608,636,-1780,668,-1776,664,-620,636,-1780,668,-1752,640,
3664,-2388,660,-592,652,-616,628,-1780,676,-1776,656,-616,640,-580,656,-612,632,-584,660,-592,652,-592,656,-584,660,-608,636,-580,652,-588,656,-612,636,-608,636,-1792,656,-588,656,-588,660,-584,660,-584,660,-576,664,-604,640,-592,656,-588,656,-604,640,-1780,660,-1784,664,-616,628,-1776,676,-1760,636,-8652,3660,-2412,660,-584,636,-628,640,-1780,660,-1784,664,-592,652,-588,648,-620,636,-584,660,-576,668,-576,664,-580,660,-584,656,-588,656,-592,652,-616,640,-604,632,-1788,660,-592,652,-592,652,-588,648,-584,660,-584,656,-616,640,-616,636,-584,648,-620,632,-1780,668,-1768,672,-612,632,-1780,668,-1756,648, 
3676,-2372,676,-616,628,-1780,660,-1784,664,-1776,668,-580,672,-572,656,-612,644,-592,640,-592,664,-580,656,-608,636,-584,660,-580,664,-576,668,-612,636,-608,636,-1780,668,-576,668,-576,660,-608,636,-584,660,-588,652,-616,636,-608,636,-584,660,-612,628,-1780,676,-1772,664,-612,640,-1780,664,-1760,636,-8664,3648,-2408,664,-616,628,-1776,676,-1772,676,-1776,656,-592,660,-584,656,-612,632,-592,652,-580,664,-580,656,-584,660,-584,660,-592,652,-588,656,-612,636,-608,636,-1780,668,-588,656,-612,636,-584,660,-604,640,-600,640,-604,648,-608,632,-588,656,-604,640,-1780,660,-1788,660,-616,628,-1780,672,-1760,640,
